Fund Holdings as of,"05/Apr/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"HRC","HILL ROM HOLDINGS INC","Equity","0.09","109.98","31,345.00","3,447,323.10","3,447,323.10","Health Care","US4314751029","New York Stock Exchange Inc.","United States","USD"
"ASRNL","ASR NEDERLAND NV","Equity","0.09","45.15","75,786.00","3,421,954.61","3,421,954.61","Financials","NL0011872643","Euronext Amsterdam","Netherlands","EUR"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Equity","0.09","124.46","27,415.00","3,412,070.90","3,412,070.90","Industrials","US5339001068","NASDAQ","United States","USD"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Equity","0.09","26.35","129,175.00","3,403,635.01","3,403,635.01","Financials","GB00BYT1DJ19","London Stock Exchange","United Kingdom","GBP"
"NYT","NEW YORK TIMES CLASS A","Equity","0.09","50.13","67,601.00","3,388,838.13","3,388,838.13","Communication","US6501111073","New York Stock Exchange Inc.","United States","USD"
"SF","STIFEL FINANCIAL CORP","Equity","0.09","66.68","50,764.00","3,384,943.52","3,384,943.52","Financials","US8606301021","New York Stock Exchange Inc.","United States","USD"
"PB","PROSPERITY BANCSHARES INC","Equity","0.09","75.42","44,827.00","3,380,852.34","3,380,852.34","Financials","US7436061052","New York Stock Exchange Inc.","United States","USD"
"BLD","TOPBUILD CORP","Equity","0.09","215.18","15,668.00","3,371,440.24","3,371,440.24","Consumer Discretionary","US89055F1030","New York Stock Exchange Inc.","United States","USD"
"LIGHT","SIGNIFY NV","Equity","0.09","52.14","64,627.00","3,369,494.83","3,369,494.83","Industrials","NL0011821392","Euronext Amsterdam","Netherlands","EUR"
"PFPT","PROOFPOINT INC","Equity","0.09","129.39","26,019.00","3,366,598.41","3,366,598.41","Information Technology","US7434241037","NASDAQ","United States","USD"
"JPY","JPY CASH","Cash","0.09","0.91","370,393,824.00","3,363,089.15","3,363,089.15","Cash and/or Derivatives","-","-","Japan","JPY"
"JBL","JABIL INC","Equity","0.09","53.70","62,317.00","3,346,422.90","3,346,422.90","Information Technology","US4663131039","New York Stock Exchange Inc.","United States","USD"
"LITE","LUMENTUM HOLDINGS INC","Equity","0.09","93.60","35,581.00","3,330,381.60","3,330,381.60","Information Technology","US55024U1097","NASDAQ","United States","USD"
"XEC","CIMAREX ENERGY","Equity","0.09","61.88","53,800.00","3,329,144.00","3,329,144.00","Energy","US1717981013","New York Stock Exchange Inc.","United States","USD"
"IAA","IAA INC","Equity","0.09","55.28","60,193.00","3,327,469.04","3,327,469.04","Industrials","US4492531037","New York Stock Exchange Inc.","United States","USD"
"LSCC","LATTICE SEMICONDUCTOR CORP","Equity","0.09","50.12","66,262.00","3,321,051.44","3,321,051.44","Information Technology","US5184151042","NASDAQ","United States","USD"
"TPX","TEMPUR SEALY INTERNATIONAL INC","Equity","0.09","37.52","88,328.00","3,314,066.56","3,314,066.56","Consumer Discretionary","US88023U1016","New York Stock Exchange Inc.","United States","USD"
"DLB","DOLBY LABORATORIES INC CLASS A","Equity","0.09","103.19","32,097.00","3,312,089.43","3,312,089.43","Information Technology","US25659T1079","New York Stock Exchange Inc.","United States","USD"
"SLM","SLM CORP","Equity","0.09","18.74","176,246.00","3,302,850.04","3,302,850.04","Financials","US78442P1066","NASDAQ","United States","USD"
"WH","WYNDHAM HOTELS RESORTS INC","Equity","0.09","72.97","45,257.00","3,302,403.29","3,302,403.29","Consumer Discretionary","US98311A1051","New York Stock Exchange Inc.","United States","USD"
"NVST","ENVISTA HOLDINGS CORP","Equity","0.09","41.76","79,044.00","3,300,877.44","3,300,877.44","Health Care","US29415F1049","New York Stock Exchange Inc.","United States","USD"
"IMCD","IMCD NV","Equity","0.09","142.64","23,128.00","3,299,067.31","3,299,067.31","Industrials","NL0010801007","Euronext Amsterdam","Netherlands","EUR"
"HBI","HANESBRANDS INC","Equity","0.09","19.88","165,929.00","3,298,668.52","3,298,668.52","Consumer Discretionary","US4103451021","New York Stock Exchange Inc.","United States","USD"
"BRKS","BROOKS AUTOMATION INC","Equity","0.09","98.36","33,488.00","3,293,879.68","3,293,879.68","Information Technology","US1143401024","NASDAQ","United States","USD"
"BRKR","BRUKER CORP","Equity","0.09","67.47","48,803.00","3,292,738.41","3,292,738.41","Health Care","US1167941087","NASDAQ","United States","USD"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Equity","0.09","67.22","48,831.00","3,282,419.82","3,282,419.82","Health Care","US04280A1007","NASDAQ","United States","USD"
"MOCORP","METSO OUTOTEC CORP","Equity","0.09","11.32","289,139.00","3,274,267.95","3,274,267.95","Industrials","FI0009014575","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"BPOP","POPULAR INC","Equity","0.09","71.17","45,885.00","3,265,635.45","3,265,635.45","Financials","PR7331747001","NASDAQ","United States","USD"
"WEIR","WEIR GROUP PLC","Equity","0.09","25.18","129,636.00","3,264,489.70","3,264,489.70","Industrials","GB0009465807","London Stock Exchange","United Kingdom","GBP"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","Equity","0.09","89.74","36,268.00","3,254,690.32","3,254,690.32","Financials","US72346Q1040","NASDAQ","United States","USD"
"KRC","KILROY REALTY REIT CORP","Equity","0.09","66.67","48,808.00","3,254,029.36","3,254,029.36","Real Estate","US49427F1084","New York Stock Exchange Inc.","United States","USD"
"CFR","CULLEN FROST BANKERS INC","Equity","0.09","109.88","29,596.00","3,252,008.48","3,252,008.48","Financials","US2298991090","New York Stock Exchange Inc.","United States","USD"
